Node,DC,BC,CC,C,S+,S-,C
46,0.3,0.3777777777777777,0.3368421052631579,0.9958774871606552,0.0018281275013906,0.4416216742659202,0.9958774871606552
47,0.2,0.3555555555555555,0.3555555555555555,0.9316105742710846,0.0304673679219354,0.4150308592850487,0.9316105742710846
74,0.2,0.3333333333333333,0.3368421052631579,0.8776995582763151,0.0542201722384449,0.3891156937181582,0.8776995582763151
58,0.2,0.2666666666666666,0.2909090909090909,0.7046955598096771,0.1305141383243604,0.3114505616992643,0.7046955598096771
12,0.2,0.1555555555555555,0.2666666666666666,0.413081334272024,0.2593743908951722,0.1825512216996512,0.413081334272024
69,0.2,0.1555555555555555,0.237037037037037,0.4126629729927766,0.259487423569692,0.1823158539997651,0.4126629729927766
70,0.1,0.0,0.2461538461538461,0.0313507826215987,0.44114464106015,0.0142778515673514,0.0313507826215987
57,0.1,0.0,0.2064516129032258,0.0230249171759507,0.4412556414666567,0.0103993180346243,0.0230249171759507
75,0.1,0.0,0.188235294117647,0.0191576636193872,0.4413179696694544,0.0086197555901966,0.0191576636193872
51,0.1,0.0,0.1,0.0,0.4417212252952135,0.0,0.0
50,0.1,0.0,0.1,0.0,0.4417212252952135,0.0,0.0
