Node,w_Node,DC,BC,CC,EC
1,1,0.48484848484848486,0.43763528138528146,0.5689655172413793,0.35548349418519426
2,2,0.2727272727272727,0.05393668831168831,0.4852941176470588,0.26595387045450236
3,3,0.30303030303030304,0.14365680615680615,0.559322033898305,0.3171893899684447
4,4,0.18181818181818182,0.011909271284271283,0.4647887323943662,0.21117407832057056
5,5,0.09090909090909091,0.0006313131313131313,0.3793103448275862,0.0759664588165738
6,6,0.12121212121212122,0.02998737373737374,0.38372093023255816,0.07948057788594245
7,7,0.12121212121212122,0.029987373737373736,0.38372093023255816,0.07948057788594245
8,8,0.12121212121212122,0.0,0.44,0.1709551149803543
9,9,0.15151515151515152,0.05592682780182781,0.515625,0.2274050914716605
11,11,0.09090909090909091,0.0006313131313131313,0.3793103448275862,0.0759664588165738
12,12,0.030303030303030304,0.0,0.36666666666666664,0.05285416945233646
13,13,0.06060606060606061,0.0,0.3707865168539326,0.08425192086558085
14,14,0.15151515151515152,0.04586339586339585,0.515625,0.22646969838808145
20,20,0.09090909090909091,0.032475048100048115,0.5,0.14791134007618664
22,22,0.06060606060606061,0.0,0.375,0.0923967566684595
32,32,0.18181818181818182,0.13827561327561327,0.5409836065573771,0.191036269797917
10,10,0.06060606060606061,0.0008477633477633478,0.4342105263157895,0.10267519030637758
17,17,0.06060606060606061,0.0,0.28448275862068967,0.023634794260596868
18,18,0.06060606060606061,0.0,0.375,0.0923967566684595
24,24,0.15151515151515152,0.017613636363636366,0.39285714285714285,0.15012328691726787
26,26,0.09090909090909091,0.0038404882154882162,0.375,0.05920820250279008
25,25,0.09090909090909091,0.0022095959595959595,0.375,0.057053735638028055
28,28,0.12121212121212122,0.022333453583453577,0.4583333333333333,0.13347932684333308
29,29,0.09090909090909091,0.0017947330447330447,0.4520547945205479,0.13107925627221215
30,30,0.12121212121212122,0.0029220779220779218,0.38372093023255816,0.13496528673866567
27,27,0.06060606060606061,0.0,0.3626373626373626,0.07558192219009326
31,31,0.12121212121212122,0.014411976911976907,0.4583333333333333,0.17476027834493088
33,33,0.36363636363636365,0.14524711399711404,0.515625,0.30865104773369595
15,15,0.06060606060606061,0.0,0.3707865168539326,0.10140627846270833
16,16,0.06060606060606061,0.0,0.3707865168539326,0.10140627846270833
19,19,0.06060606060606061,0.0,0.3707865168539326,0.10140627846270833
21,21,0.06060606060606061,0.0,0.3707865168539326,0.10140627846270833
23,23,0.06060606060606061,0.0,0.3707865168539326,0.10140627846270833
34,34,0.5151515151515151,0.30407497594997596,0.55,0.37337121301323495
