Node,w_Node,DC,BC,CC,EC
0,0,0.08593363051015354,0.14630592147442917,0.35334266713335666,3.391796172270201e-05
1,1,0.004210004952947003,2.7832744209034606e-06,0.2613761408505405,6.045346134948108e-07
2,2,0.0024764735017335313,7.595021178512074e-08,0.26125776397515527,2.2334609371911966e-07
3,3,0.004210004952947003,1.6850656559280464e-06,0.2613761408505405,6.635648083921052e-07
4,4,0.0024764735017335313,1.8403320547933104e-07,0.26125776397515527,2.2364157028893605e-07
5,5,0.0032194155522535907,2.205964164092193e-06,0.2613084837895554,1.1833221118435218e-06
6,6,0.0014858841010401188,2.4537760730577472e-08,0.26119016817593793,2.1709041695161263e-07
7,7,0.004952947003467063,0.0001702984836730339,0.2747686445291236,2.568510124822489e-05
8,8,0.001981178801386825,2.7604980821899654e-07,0.2612239617026782,2.1973746334830285e-07
9,9,0.014115898959881128,1.6454236303026905e-05,0.2620546433902265,2.214116624486093e-06
10,10,0.0024764735017335313,4.986739552037655e-08,0.26125776397515527,7.708567044092624e-07
11,11,0.00024764735017335313,0.0,0.26110572259941806,2.1031233303459666e-07
12,12,0.00024764735017335313,0.0,0.26110572259941806,2.1031233303459666e-07
13,13,0.007677067855373947,1.7622717578436846e-06,0.26161321671525756,1.103790547598573e-06
14,14,0.003714710252600297,5.582871686568508e-07,0.2613423079412336,2.3055679294325335e-07
15,15,0.00024764735017335313,0.0,0.26110572259941806,2.1031233303459666e-07
16,16,0.002228826151560178,1.9979459275532697e-07,0.2612408617454875,2.6165135921174614e-07
17,17,0.0032194155522535907,4.1066669000480344e-07,0.2613084837895554,2.2774170298520142e-07
18,18,0.00024764735017335313,0.0,0.26110572259941806,2.1031233303459666e-07
19,19,0.00396235760277365,5.062957964075819e-06,0.2613592233009709,2.3149092118602842e-07
20,20,0.003714710252600297,6.793693332142838e-07,0.2613423079412336,2.3038875741121886e-07
21,21,0.016097077761267953,0.0009380243844653233,0.2756125861715924,2.5965755464539667e-05
22,22,0.0027241208519068845,6.703002200833232e-07,0.2612746683921061,1.0365420550578182e-06
23,23,0.004210004952947003,6.860348937590618e-06,0.2613761408505405,2.327855955467465e-07
24,24,0.00396235760277365,1.3673472422981514e-07,0.2613592233009709,2.4875636881516775e-07
25,25,0.017087667161961365,5.38808313945586e-05,0.26225888160031174,2.0920477409908786e-06
26,26,0.016840019811788013,1.935436798204632e-05,0.26224184959085595,2.333621078244131e-06
27,27,0.0012382367508667657,3.067220091322184e-08,0.2611732746911584,3.850049336881095e-07
28,28,0.0032194155522535907,3.812160659244892e-07,0.2613084837895554,2.276328150659143e-07
29,29,0.0032194155522535907,1.3954817951917517e-06,0.2613084837895554,2.927663311548733e-07
30,30,0.004210004952947003,1.3694627409316544e-06,0.2613761408505405,9.62912044010581e-07
31,31,0.005695889053987122,4.932641252790837e-06,0.2614776921582594,1.4530295555049823e-06
32,32,0.0014858841010401188,0.0,0.26119016817593793,2.172656002138456e-07
33,33,0.0004952947003467063,0.0,0.26112260734609416,2.1162712130634827e-07
34,34,0.0012382367508667657,0.0036020881281963652,0.3033125516412529,4.074184547679874e-06
35,35,0.0004952947003467063,0.0,0.26112260734609416,2.1171402853040497e-07
36,36,0.0027241208519068845,2.726417858953052e-08,0.2612746683921061,2.356058109794917e-07
37,37,0.00024764735017335313,0.0,0.26110572259941806,2.1031233303459666e-07
38,38,0.002228826151560178,7.344481172858835e-07,0.2612408617454875,7.219113580673047e-07
39,39,0.003714710252600297,9.548632622274015e-07,0.2613423079412336,4.869308388829613e-07
40,40,0.010896483407627538,1.3796059569123122e-05,0.26183374400207493,1.7851968170490274e-06
41,41,0.005943536404160475,4.673274954378314e-06,0.26149462504856885,2.430097031380907e-07
42,42,0.0004952947003467063,0.0,0.26112260734609416,2.1162712130634827e-07
43,43,0.00024764735017335313,0.0,0.26110572259941806,2.1031233303459666e-07
44,44,0.0014858841010401188,0.0,0.26119016817593793,2.176613170884422e-07
45,45,0.0029717682020802376,3.0243457405507097e-07,0.2612915749967646,7.728864856656585e-07
46,46,0.0012382367508667657,0.0,0.2611732746911584,2.1603795141193674e-07
47,47,0.0004952947003467063,0.0,0.26112260734609416,2.1257645405396597e-07
48,48,0.005448241703813769,5.29085361854899e-06,0.26146076146076147,4.831348837967412e-07
49,49,0.0009905894006934125,1.8403320547933104e-07,0.26115638339154057,2.1428263481709508e-07
50,50,0.0027241208519068845,5.135467952242277e-07,0.2612746683921061,4.46282343059978e-07
51,51,0.001733531451213472,9.201660273966552e-08,0.2612070638463031,2.3934747731679905e-07
52,52,0.0004952947003467063,0.0,0.26112260734609416,2.1165285159495728e-07
53,53,0.007677067855373947,1.0849233385514972e-05,0.26161321671525756,9.315426117405499e-07
54,54,0.001981178801386825,3.6120168027808387e-07,0.2612239617026782,2.5381261955004794e-07
55,55,0.004210004952947003,1.8160988132495756e-07,0.2613761408505405,9.982470311456912e-07
56,56,0.019316493313521546,0.0010850657064421735,0.27585735756250856,2.636637974139532e-05
57,57,0.003714710252600297,1.5359027152243021e-06,0.2613423079412336,4.21144852579559e-07
58,58,0.0029717682020802376,0.08436020590796486,0.3974018305284913,0.000589812015498517
59,59,0.0047052996532937095,7.274796871349583e-07,0.2614099825208778,5.185075583635661e-07
60,60,0.001981178801386825,7.546141619678459e-08,0.2612239617026782,7.389823247074878e-07
61,61,0.0007429420505200594,6.134440182644368e-08,0.2611394942766604,2.1309924189850115e-07
62,62,0.0064388311045071814,2.8660815656610625e-06,0.26152849740932643,1.0480310720344275e-06
63,63,0.0014858841010401188,0.0,0.26119016817593793,4.123650334848587e-07
64,64,0.001733531451213472,1.2821395685548784e-05,0.2790408403012922,2.713065606170404e-07
65,65,0.0029717682020802376,6.893923913652614e-07,0.2612915749967646,6.051887725449037e-07
66,66,0.003714710252600297,9.542251505382869e-08,0.2613423079412336,1.2731710213783302e-06
67,67,0.018821198613174838,0.0009118520705882054,0.27581967213114755,2.667402808693757e-05
68,68,0.002228826151560178,1.4722656438346484e-07,0.2612408617454875,2.215965528432378e-07
69,69,0.0024764735017335313,1.9840927984607338e-07,0.26125776397515527,6.001155179628284e-07
70,70,0.0004952947003467063,0.0,0.26112260734609416,2.1168797016997866e-07
71,71,0.0007429420505200594,0.0,0.2611394942766604,2.130793527418473e-07
72,72,0.005943536404160475,1.8125106130858043e-06,0.26149462504856885,7.321880694397925e-07
73,73,0.0024764735017335313,6.016664242341218e-07,0.26125776397515527,2.526339746355996e-07
74,74,0.00024764735017335313,0.0,0.26110572259941806,2.1031233303459666e-07
75,75,0.003467062902426944,2.5490958649817383e-07,0.26132539477090344,9.487325073453163e-07
76,76,0.0007429420505200594,0.0,0.2611394942766604,2.246971005449556e-07
77,77,0.0014858841010401188,2.556016742768486e-07,0.26119016817593793,2.423162262820322e-07
78,78,0.002228826151560178,0.0,0.2612408617454875,2.2135803346558037e-07
79,79,0.0029717682020802376,2.0870669696912043e-08,0.2612915749967646,5.042070479439274e-07
80,80,0.005695889053987122,0.00015960172239363706,0.2679140127388535,5.829688943218435e-07
81,81,0.0007429420505200594,6.134440182644368e-08,0.2611394942766604,2.3546233025642665e-07
82,82,0.008420009905894007,7.3592283705503054e-06,0.26166407465007774,8.953960456355658e-07
83,83,0.001733531451213472,9.201660273966552e-08,0.2612070638463031,2.3934747731679905e-07
84,84,0.0032194155522535907,1.3929533620512854e-06,0.2613084837895554,4.4393270134604735e-07
85,85,0.003467062902426944,5.032627527050142e-07,0.26132539477090344,6.218399102825083e-07
86,86,0.0014858841010401188,0.0,0.26119016817593793,2.1745012502533326e-07
87,87,0.0032194155522535907,4.625863702493762e-05,0.27463782901448686,2.5353932977449393e-05
88,88,0.004952947003467063,4.549846123020853e-06,0.26142690664249646,7.788173777900159e-07
89,89,0.001981178801386825,3.312597698627958e-07,0.2612239617026782,2.198438094304251e-07
90,90,0.0004952947003467063,0.0,0.26112260734609416,2.1163531066753916e-07
91,91,0.001981178801386825,2.7604980821899654e-07,0.2612239617026782,2.1973746334830285e-07
92,92,0.005200594353640416,6.842999005760918e-07,0.2614438329556491,2.6177120551499574e-07
93,93,0.001981178801386825,9.40614161338803e-08,0.2612239617026782,2.201797330620387e-07
94,94,0.005448241703813769,2.1380836623092413e-06,0.26146076146076147,4.3187807994812516e-07
95,95,0.0014858841010401188,6.134440182644368e-08,0.26119016817593793,2.1707392791581983e-07
96,96,0.002228826151560178,7.835986401270893e-07,0.2612408617454875,4.1041485115144325e-07
97,97,0.0007429420505200594,4.089626788429578e-08,0.2611394942766604,2.130110549045412e-07
98,98,0.012134720158494303,6.75276474687329e-06,0.26191866121813584,1.8651974910044857e-06
99,99,0.0032194155522535907,8.161726604908745e-07,0.2613084837895554,2.2710379624244594e-07
100,100,0.002228826151560178,5.316514824958451e-07,0.2612408617454875,2.690026832037136e-07
101,101,0.0047052996532937095,7.890545400009306e-07,0.2614099825208778,2.5443101452882274e-07
102,102,0.0014858841010401188,0.0,0.26119016817593793,2.174157330625746e-07
103,103,0.00396235760277365,9.4190407877329e-05,0.2746938775510204,2.509601726022742e-05
104,104,0.0079247152055473,3.0155346005494676e-06,0.2616301671634055,1.4355684549795197e-06
105,105,0.003467062902426944,4.083494447761187e-07,0.26132539477090344,6.40839152362538e-07
106,106,0.001981178801386825,3.6387941210384125e-07,0.2612239617026782,4.032095292632716e-07
107,107,0.258791480931154,0.4805180785560152,0.45969945355191255,0.00026069399119670256
108,108,0.0032194155522535907,3.481582493846834e-07,0.2613084837895554,4.0780175010285773e-07
109,109,0.009162951956414065,5.787658323854831e-06,0.26171495236243436,1.916116743643399e-06
110,110,0.0012382367508667657,0.0,0.2611732746911584,2.1574871103769876e-07
