Node,w_Node,DC,BC,CC,EC,C
107,107,0.258791480931154,0.4805180785560152,0.4596994535519125,0.0002606939911967,0.6459641039255203
1912,1912,0.1869737493808816,0.2292953395868782,0.3509473318268729,0.0954069614906762,0.6014264286157398
1684,1684,0.1961367013372957,0.3377974497301992,0.3936056145823179,7.1642597901192735e-06,0.5333060521084019
3437,3437,0.1354631005448241,0.236115357358929,0.3144125204391497,9.531612931089674e-08,0.3988632283721971
2266,2266,0.0579494799405646,0.0017078201895933,0.2817078275429049,0.0869832776788655,0.34345232127209785
2206,2206,0.0520059435364041,1.218384937248003e-05,0.2633363766792748,0.0860523927058434,0.33901728498809797
2233,2233,0.0549777117384844,0.0001141864844827,0.2635426184571204,0.0851734091275659,0.33726568129274226
2142,2142,0.054730064388311,8.992278144016344e-05,0.2635254193043138,0.0841931189799179,0.33461254850554134
2464,2464,0.0500247647350173,8.217091110782286e-06,0.2631990614000782,0.0842787747567609,0.3339885468796451
2218,2218,0.0507677067855373,1.4677835806484195e-05,0.2632505378447096,0.0841557356805503,0.33379011285501015
2078,2078,0.050520059435364,1.3204916504834854e-05,0.2632333767926988,0.0841361704172497,0.3336947241493296
2123,2123,0.0502724120851906,1.0548338908604308e-05,0.2632162179779675,0.0836714123820622,0.33240678585995465
2410,2410,0.0512630014858841,2.0825042020004427e-05,0.2632848666623198,0.0835175116214819,0.3321687656921175
1993,1993,0.0502724120851906,1.7699084201704577e-05,0.2632162179779675,0.0835324284081597,0.33203655503873236
2244,2244,0.0495294700346706,8.803135012512038e-06,0.2631647549530761,0.0833418600800428,0.33139268978412145
2507,2507,0.0497771173848439,1.2895423911585726e-05,0.2631819070585935,0.083273115681449,0.33125165493171077
1985,1985,0.0554730064388311,0.0001324461868797,0.2635770234986945,0.0827378099461386,0.3308584710350155
2229,2229,0.0512630014858841,3.506630843377365e-05,0.2632848666623198,0.0830077353363039,0.33080181798856817
2240,2240,0.0497771173848439,1.1615429569137656e-05,0.2631819070585935,0.0830568513543221,0.3306677321838226
2340,2340,0.0490341753343239,9.221639254696471e-06,0.2631304574481949,0.083053354092048,0.33052997213883734
2347,2347,0.0720653789004457,0.0031998747402823,0.2834081976417743,0.0803215972394895,0.32908024924744844
